문제번호,문제,선지 1,선지 2,선지 3,선지 4,정답,키워드,해설,과목,회차
89,악성코드의 유형 중 다른 컴퓨터의 취약점을 이용하여 스스로 전파하거나 메일로 전파되며 스스로를 증식하는 것은?,Worm,Rogue Ware,Adware,Reflection Attack,1,"전파, 증식, ",악성코드의 유형 중에서 다른 컴퓨터의 취약점을 이용하여 스스로 전파하거나 메일로 전파되며 스스로를 증식하는 것은 Worm이다. Worm은 자체 전파 기능을 가지고 있어 네트워크 상에서 빠르게 퍼지는 특징을 가지고 있다.,5,2
90,다음 설명에 해당하는 공격기법은?,Ping of Death,Session Hijacking,Piggyback Attack,XSS,1,"공격기법, Session Hijacking, ",Session Hijacking은 공격자가 유효한 세션을 탈취하여 해당 세션을 이용해 사용자의 권한을 획득하는 공격 기법입니다. 이는 사용자가 로그인한 후에도 계속해서 해당 세션을 이용하여 서비스를 이용할 수 있기 때문에 사용자의 정보를 탈취하거나 악의적인 행동을 할 수 있습니다.,5,2
91,다음 설명에 해당하는 소프트웨어는?,전역 함수 라이브러리,소프트웨어 개발 프레임워크,컨테이너 아키텍처,어휘 분석기,2,소프트웨어 개발 프레임워크,"소프트웨어 개발 프레임워크는 소프트웨어 개발을 위한 구조, 규칙, 도구 등을 제공하여 개발자가 보다 쉽고 효율적으로 소프트웨어를 개발할 수 있도록 도와주는 도구입니다.",5,2
92,소프트웨어 개발 방법론 중 애자일(Agile) 방법론의 특징과 가장 거리가 먼 것은?,각 단계의 결과가 완전히 확인된 후 다음 단계 진행,소프트웨어 개발에 참여하는 구성원들 간의 의사소통 중시,환경 변화에 대한 즉시 대응,프로젝트 상황에 따른 주기적 조정,1,"환경 변화, ","애자일 방법론은 환경 변화에 대한 즉각적인 대응을 중요시하는 방법론이다. 이는 프로젝트가 진행되는 과정에서 예상치 못한 변화가 발생할 수 있기 때문에, 빠르게 대응하여 유연하게 프로젝트를 조정할 수 있어야 한다는 것을 의미한다. 이는 다른 선지들과 가장 큰 차이",5,2
93,대칭 암호 알고리즘과 비대칭 암호 알고리즘에 대한 설명으로 틀린 것은?,대칭 암호 알고리즘은 비교적 실행 속도가 빠르기 때문에 다양한 암호의 핵심 함수로 사용될 수 있다.,대칭 암호 알고리즘은 비밀키 전달을 위한 키 교환이 필요하지 않아 암호화 및 복호화의 속도가 빠르다.,"비대칭 암호 알고리즘은 자신만이 보관하는 비밀키를 이용하여 인증, 전자서명 등에 적용이 가능하다.","대표적인 대칭키 암호 알고리즘으로는 AES, IDEA 등이 있다.",2,"대칭 암호, 비대칭 암호, ","대칭 암호 알고리즘은 암호화와 복호화에 같은 키를 사용하는 반면, 비대칭 암호 알고리즘은 공개키와 개인키를 사용하여 암호화와 복호화를 진행한다. 따라서, 대칭 암호 알고리즘은 비밀키 전달을 위한 키 교환 과정이 필요하지 않아 속도가",5,2
94,"두 명의 개발자가 5개월에 걸쳐 10000 라인의 코드를 개발하였을 때, 월별(man-month) 생산성 측정을 위한 계산 방식으로 가장 적합한 것은?",10000／2,10000／(5×2),10000／5,(2×10000)／5,2,월별 생산성,"월별 생산성은 개발자 수와 개발 기간에 따라 달라지는데, 이 경우에는 2명의 개발자가 5개월 동안 10000 라인의 코드를 개발했으므로, 월별 생산성은 총 코드 라인 수를 개발자 수와 개발 기간으로 나눈 값으로 계산할 수 있습니다. 따라서 10000을 2로 나눈 값이",5,2
95,"접근 통제 방법 중 조직 내에서 직무, 직책 등 개인의 역할에 따라 결정하여 부여하는 접근 정책은?",RBAC,DAC,MAC,QAC,1,"직무, 직책, ","조직 내에서 각 개인의 역할과 책무에 따라 접근 권한을 부여하는 방식을 의미합니다. 이는 RBAC(Role-Based Access Control)의 개념과 관련이 있습니다. RBAC는 사용자의 역할에 따라 접근 권한을 부여하고 관리하는 접근 통제 방법 중 하나로, 조직 내에서의 역할과 권한 관리를 용이하",5,2
96,COCOMO(Constructive Cost Model) 모형의 특징이 아닌 것은?,프로젝트를 완성하는데 필요한 man-month로 산정 결과를 나타낼 수 있다.,보헴(Boehm)이 제안한 것으로 원시코드 라인 수에 의한 비용 산정 기법이다.,비교적 작은 규모의 프로젝트 기록을 통계 분석하여 얻은 결과를 반영한 모델이며 중소 규모 소프트웨어 프로젝트 비용 추정에 적합하다.,"프로젝트 개발유형에 따라 object, dynamic, function의 3가지 모드로 구분한다.",4,"보헴, 원시코드 라인 수, ","COCOMO 모형은 보헴이 제안한 것으로, 원시코드 라인 수에 의한 비용 산정 기법이 아니라 프로젝트를 완성하는데 필요한 man-month로 산정 결과를 나타낼 수 있다. 따라서, 이 선지는 COCOMO 모형의 특징이 아니다.",5,2
97,각 사용자 인증의 유형에 대한 설명으로 가장 적절하지 않은 것은?,"지식 : 주체는 '그가 알고 있는 것'을 보여주며 예시로는 패스워드, PIN 등이 있다.","소유 : 주체는 '그가 가지고 있는 것'을 보여주며 예시로는 토큰, 스마트카드 등이 있다.","존재 : 주체는 '그를 대체하는 것'을 보여주며 예시로는 패턴, QR 등이 있다.","행위 : 주체는 '그가 하는 것'을 보여주며 예시로는 서명, 움직임, 음성 등이 있다.",3,존재,"존재 인증은 사용자가 특정한 물리적인 물건을 소지하고 있는지를 확인하는 방식으로, 패턴이나 QR 코드와 같은 것을 통해 사용자를 인증하는 방식이다. 이 방식은 주로 생체 인증이 어려운 경우에 사용되는데, 예를 들어 스마트폰을 통한 패턴 인증이 이에 해당한다.",5,2
98,시스템의 사용자가 로그인하여 명령을 내리는 과정에 대한 시스템의 동작 중 다음 설명에 해당하는 것은?,Aging,Accounting,Authorization,Authentication,4,"로그인, 사용자, ","이 문제에서 시스템의 사용자가 로그인하여 명령을 내리는 과정에 대한 시스템의 동작 중 Authorization(인가)에 해당합니다. Authorization은 사용자가 특정 자원 또는 기능에 접근할 수 있는 권한을 부여하는 프로세스를 의미합니다. 사용자가 로그인하여 시스템에 접근할 때, 시스템은 해당 사용자의 권한을 확인하고 인가",5,2
99,다음에서 설명하는 IT 기술은?,SDN(Software Defined Networking),NFS(Network File System),Network Mapper,AOE Network,1,SDN(Software Defined Networking),"SDN은 네트워크의 제어와 데이터 전송을 분리하여 네트워크를 소프트웨어로 정의하고 제어하는 기술을 의미합니다. 이를 통해 네트워크를 유연하게 관리하고 프로그래밍할 수 있으며, 네트워크 자원을 효율적으로 활용할 수 있습니다.",5,2
100,프로젝트 일정 관리 시 사용하는 PERT 차트에 대한 설명에 해당하는 것은?,각 작업들이 언제 시작하고 언제 종료되는지에 대한 일정을 막대 도표를 이용하여 표시한다.,시간선(Time-line) 차트라고도 한다.,수평 막대의 길이는 각 작업의 기간을 나타낸다.,"작업들 간의 상호 관련성, 결정경로, 경계시간, 자원할당 등을 제시한다.",4,"PERT 차트, 일정 관리","PERT 차트는 프로젝트 일정을 관리하기 위해 사용되는 도표로, 각 작업들 간의 상호 관련성, 결정경로, 경계시간, 자원할당 등을 제시하여 프로젝트 일정을 시각적으로 표현한다.",5,2
